id,Kunnat 2016,Genetiivi
20,Akaa,Akaan
5,Alajärvi,Alajärven
9,Alavieska,Alavieskan
10,Alavus,Alavuksen
16,Asikkala,Asikkalan
18,Askola,Askolan
19,Aura,Auran
46,Enonkoski,Enonkosken
47,Enontekiö,Enontekiön
49,Espoo,Espoon
50,Eura,Euran
51,Eurajoki,Eurajoen
52,Evijärvi,Evijärven
61,Forssa,Forssan
69,Haapajärvi,Haapajärven
71,Haapavesi,Haapaveden
72,Hailuoto,Hailuodon
74,Halsua,Halsuan
75,Hamina,Haminan
77,Hankasalmi,Hankasalmen
78,Hanko,Hangon
79,Harjavalta,Harjavallan
81,Hartola,Hartolan
82,Hattula,Hattulan
86,Hausjärvi,Hausjärven
111,Heinola,Heinolan
90,Heinävesi,Heinäveden
91,Helsinki,Helsingin
97,Hirvensalmi,Hirvensalmen
98,Hollola,Hollolan
99,Honkajoki,Honkajoen
102,Huittinen,Huittisten
103,Humppila,Humppilan
105,Hyrynsalmi,Hyrynsalmen
106,Hyvinkää,Hyvinkään
108,Hämeenkyrö,Hämeenkyrön
109,Hämeenlinna,Hämeenlinnan
139,Ii,Iin
140,Iisalmi,Iisalmen
142,Iitti,Iitin
143,Ikaalinen,Ikaalisten
145,Ilmajoki,Ilmajoen
146,Ilomantsi,Ilomantsin
153,Imatra,Imatran
148,Inari,Inarin
149,Inkoo,Inkoon
151,Isojoki,Isojoen
152,Isokyrö,Isonkyrön
165,Janakkala,Janakkalan
167,Joensuu,Joensuun
169,Jokioinen,Jokioisten
171,Joroinen,Joroisten
172,Joutsa,Joutsan
176,Juuka,Juuan
177,Juupajoki,Juupajoen
178,Juva,Juvan
179,Jyväskylä,Jyväskylän
181,Jämijärvi,Jämijärven
182,Jämsä,Jämsän
186,Järvenpää,Järvenpään
202,Kaarina,Kaarinan
204,Kaavi,Kaavin
205,Kajaani,Kajaanin
208,Kalajoki,Kalajoen
211,Kangasala,Kangasalan
213,Kangasniemi,Kangasniemen
214,Kankaanpää,Kankaanpään
216,Kannonkoski,Kannonkosken
217,Kannus,Kannuksen
218,Karijoki,Karijoen
224,Karkkila,Karkkilan
226,Karstula,Karstulan
230,Karvia,Karvian
231,Kaskinen,Kaskisten
232,Kauhajoki,Kauhajoen
233,Kauhava,Kauhavan
235,Kauniainen,Kauniaisten
236,Kaustinen,Kaustisen
239,Keitele,Keiteleen
240,Kemi,Kemin
320,Kemijärvi,Kemijärven
241,Keminmaa,Keminmaan
322,Kemiönsaari,Kemiönsaaren
244,Kempele,Kempeleen
245,Kerava,Keravan
249,Keuruu,Keuruun
250,Kihniö,Kihniön
256,Kinnula,Kinnulan
257,Kirkkonummi,Kirkkonummen
260,Kitee,Kiteen
261,Kittilä,Kittilän
263,Kiuruvesi,Kiuruveden
265,Kivijärvi,Kivijärven
271,Kokemäki,Kokemäen
272,Kokkola,Kokkolan
273,Kolari,Kolarin
275,Konnevesi,Konneveden
276,Kontiolahti,Kontiolahden
280,Korsnäs,Korsnäsin
284,Koski Tl,Koski Tl:n
285,Kotka,Kotkan
286,Kouvola,Kouvolan
287,Kristiinankaupunki,Kristiinankaupungin
288,Kruunupyy,Kruunupyyn
290,Kuhmo,Kuhmon
291,Kuhmoinen,Kuhmoisen
297,Kuopio,Kuopion
300,Kuortane,Kuortaneen
301,Kurikka,Kurikan
304,Kustavi,Kustavin
305,Kuusamo,Kuusamon
312,Kyyjärvi,Kyyjärven
316,Kärkölä,Kärkölän
317,Kärsämäki,Kärsämäen
398,Lahti,Lahden
399,Laihia,Laihian
400,Laitila,Laitilan
407,Lapinjärvi,Lapinjärven
402,Lapinlahti,Lapinlahden
403,Lappajärvi,Lappajärven
405,Lappeenranta,Lappeenrannan
408,Lapua,Lapuan
410,Laukaa,Laukaan
416,Lemi,Lemin
418,Lempäälä,Lempäälän
420,Leppävirta,Leppävirran
421,Lestijärvi,Lestijärven
422,Lieksa,Lieksan
423,Lieto,Liedon
425,Liminka,Limingan
426,Liperi,Liperin
444,Lohja,Lohjan
430,Loimaa,Loimaan
433,Loppi,Lopen
434,Loviisa,Loviisan
435,Luhanka,Luhangan
436,Lumijoki,Lumijoen
440,Luoto,Luodon
441,Luumäki,Luumäen
475,Maalahti,Maalahden
480,Marttila,Marttilan
481,Masku,Maskun
483,Merijärvi,Merijärven
484,Merikarvia,Merikarvian
489,Miehikkälä,Miehikkälän
491,Mikkeli,Mikkelin
494,Muhos,Muhoksen
495,Multia,Multian
498,Muonio,Muonion
499,Mustasaari,Mustasaaren
500,Muurame,Muuramen
503,Mynämäki,Mynämäen
504,Myrskylä,Myrskylän
505,Mäntsälä,Mäntsälän
508,Mänttä-Vilppula,Mänttä-Vilppulan
507,Mäntyharju,Mäntyharjun
529,Naantali,Naantalin
531,Nakkila,Nakkilan
535,Nivala,Nivalan
536,Nokia,Nokian
538,Nousiainen,Nousiaisten
541,Nurmes,Nurmeksen
543,Nurmijärvi,Nurmijärven
545,Närpiö,Närpiön
560,Orimattila,Orimattilan
561,Oripää,Oripään
562,Orivesi,Oriveden
563,Oulainen,Oulaisten
564,Oulu,Oulun
309,Outokumpu,Outokummun
576,Padasjoki,Padasjoen
577,Paimio,Paimion
578,Paltamo,Paltamon
445,Parainen,Paraisten
580,Parikkala,Parikkalan
581,Parkano,Parkanon
599,Pedersören kunta,Pedersören kunnan
583,Pelkosenniemi,Pelkosenniemen
854,Pello,Pellon
584,Perho,Perhon
588,Pertunmaa,Pertunmaan
592,Petäjävesi,Petäjäveden
593,Pieksämäki,Pieksämäen
595,Pielavesi,Pielaveden
598,Pietarsaari,Pietarsaaren
601,Pihtipudas,Pihtiputaan
604,Pirkkala,Pirkkalan
607,Polvijärvi,Polvijärven
608,Pomarkku,Pomarkun
609,Pori,Porin
611,Pornainen,Pornaisten
638,Porvoo,Porvoon
614,Posio,Posion
615,Pudasjärvi,Pudasjärven
616,Pukkila,Pukkilan
619,Punkalaidun,Punkalaitumen
620,Puolanka,Puolangan
623,Puumala,Puumalan
624,Pyhtää,Pyhtään
625,Pyhäjoki,Pyhäjoen
626,Pyhäjärvi,Pyhäjärven
630,Pyhäntä,Pyhännän
631,Pyhäranta,Pyhärannan
635,Pälkäne,Pälkäneen
636,Pöytyä,Pöytyän
678,Raahe,Raahen
710,Raasepori,Raaseporin
680,Raisio,Raision
681,Rantasalmi,Rantasalmen
683,Ranua,Ranuan
684,Rauma,Rauman
686,Rautalampi,Rautalammen
687,Rautavaara,Rautavaaran
689,Rautjärvi,Rautjärven
691,Reisjärvi,Reisjärven
694,Riihimäki,Riihimäen
697,Ristijärvi,Ristijärven
698,Rovaniemi,Rovaniemen
700,Ruokolahti,Ruokolahden
702,Ruovesi,Ruoveden
704,Rusko,Ruskon
707,Rääkkylä,Rääkkylän
729,Saarijärvi,Saarijärven
732,Salla,Sallan
734,Salo,Salon
790,Sastamala,Sastamalan
738,Sauvo,Sauvon
739,Savitaipale,Savitaipaleen
740,Savonlinna,Savonlinnan
742,Savukoski,Savukosken
743,Seinäjoki,Seinäjoen
746,Sievi,Sievin
747,Siikainen,Siikaisten
748,Siikajoki,Siikajoen
791,Siikalatva,Siikalatvan
749,Siilinjärvi,Siilinjärven
751,Simo,Simon
753,Sipoo,Sipoon
755,Siuntio,Siuntion
758,Sodankylä,Sodankylän
759,Soini,Soinin
761,Somero,Someron
762,Sonkajärvi,Sonkajärven
765,Sotkamo,Sotkamon
768,Sulkava,Sulkavan
777,Suomussalmi,Suomussalmen
778,Suonenjoki,Suonenjoen
781,Sysmä,Sysmän
783,Säkylä,Säkylän
831,Taipalsaari,Taipalsaaren
832,Taivalkoski,Taivalkosken
833,Taivassalo,Taivassalon
834,Tammela,Tammelan
837,Tampere,Tampereen
844,Tervo,Tervon
845,Tervola,Tervolan
846,Teuva,Teuvan
848,Tohmajärvi,Tohmajärven
849,Toholampi,Toholammen
850,Toivakka,Toivakan
851,Tornio,Tornion
853,Turku,Turun
857,Tuusniemi,Tuusniemen
858,Tuusula,Tuusulan
859,Tyrnävä,Tyrnävän
886,Ulvila,Ulvilan
887,Urjala,Urjalan
889,Utajärvi,Utajärven
890,Utsjoki,Utsjoen
892,Uurainen,Uuraisten
893,Uusikaarlepyy,Uusikaarlepyyn
895,Uusikaupunki,Uudenkaupungin
785,Vaala,Vaalan
905,Vaasa,Vaasan
908,Valkeakoski,Valkeakosken
911,Valtimo,Valtimon
92,Vantaa,Vantaan
915,Varkaus,Varkauden
918,Vehmaa,Vehmaan
921,Vesanto,Vesannon
922,Vesilahti,Vesilahden
924,Veteli,Vetelin
925,Vieremä,Vieremän
927,Vihti,Vihdin
931,Viitasaari,Viitasaaren
934,Vimpeli,Vimpelin
935,Virolahti,Virolahden
936,Virrat,Virtain
946,Vöyri,Vöyrin
976,Ylitornio,Ylitornion
977,Ylivieska,Ylivieskan
980,Ylöjärvi,Ylöjärven
981,Ypäjä,Ypäjän
989,Ähtäri,Ähtärin
992,Äänekoski,Äänekosken